common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,has_photo
Engelmann spruce,141,Joffre Giant,418,38.8,2.27,11.7,2019,1992,Joffre Creek,Mount Currie,Provincial land,Lil'wat Nation,50.368982,-122.557327,1145,North of Joffre Creek. From Duffey Lake Rd. follow North Joffre Creek logging road for approx. 2.5 km. Cross creek and contour through forest to slide path. Tree is isolated in slide path/avalanche chute surrounded by slide alder. Tree visible from North Joffre logging road.,"This tree appears to be very healthy, some burls observed. Historic grown-over bole scars likely from boulders (slide). One fungi fruiting body located inside an old scar. No insect bore holes noted. Needles green and abundant to the tree top. Only one small cone located on ground, tree does not appear to be stressed. Tree dominated by Alder and surrounded by devils club, huckleberry, salmonberry, bracken fern, ribes and thimbleberry. (FG 2019) This tree is a perfectly formed sentinel with sprawling roots clinging to a huge boulder in the path of winter snow slides. The base swells to over 8 feet thick before expanding still further into massive, flaring roots.  ESE aspect, 40-45% slope, mid-slope, concave, (upper mesoslope, convex), avalanche deposition zone.  CWHds1, montane (RVP 1999)",Randy Stoltmann,,,,Frank DeGagne,1
black cottonwood*,142,,527,45.7,2.89,24.1,1993,1993,Skumalasph Island,Deroche,First Nations,,49.199549,-122.021211,10,"First Nation Reserve - please contact First Nations for permission. 
From Hwy 7, follow Malcom Rd. east, turn right over bridge into Skumalasph Island. At sharp left turn approx. 1.5 km beyond bridge, follow spur road to right. Hike northwest along slough from end of spur. Tree is in grove east of slough.",An eagle's nest was found in this tree. CWHdm.,Randy Stoltmann,Will Koop,Ralph Kelman,,Randy Stoltmann,0
black cottonwood*,143,,531,46.9,2.87,26.2,1993,1993,Skumalasph Island,Deroche,First Nations,,49.200483,-122.025311,10,"First Nation Reserve - please contact First Nations for permission. 
From Hwy 7, follow Malcom Rd. east, turn right over bridge into Skumalasph Island. At sharp left turn approx. 1.5 km beyond bridge, follow spur road to right. Hike northwest along slough from end of spur. Tree is in grove east of slough.",CWHdm,Randy Stoltmann,Will Koop,Ralph Kelman,,Randy Stoltmann,0
western hemlock*,144,Norvan's Castle,541,45.7,3.05,16.8,1999,1993,Norvan Creek,North Vancouver,Parks/reserves,Lynn Headwaters RP,49.41891,-123.01768,700,"From the Lynn Headwaters Regional Provincial Park parking lot, take the Lynn Headwaters Trail toward Norvan Falls (7 km). Just before the falls, turn right onto the Coliseum Mountain trail. This trail is rugged and fairly vertical. Follow the yellow blazons and orange trail-marking tape. After about an hour, the trail levels out and is in more dense brush and old-growth. Follow the trail, crossing creek beds, until you reach a stony avalanche chute. You'll see Norvan Ponds (pools and waterfall) about 40 m to your left, down the chute. Keep walking on the path, which meanders up the stony avalanche chute. Look for the pink trail-marking tape in the bush to your right and walk about 15 m off the trail to the tree. The tree is above (to the right of) the path, below The Needles. The tree is not visible from the path.

","Healthy, has 6 reiterations (new leaders) and broken top at 115 feet, 5 leaders forming ‘candelabra’ top.  Tree is at bottom of large avalanche chute.",Randy Stoltmann,,,,Robert VanPelt,1
black cottonwood*,146,,477,37.8,2.72,21,1993,1993,Skumalasph Island,Deroche,First Nations,,49.191682,-122.049504,,"First Nation Reserve - please contact First Nations for permission. 
From Highway 7, 200 m south of Nicomen Slough bridge, turn east on road for 1 km to dike at Zaitscullachan Slough, turn left and then right across slough. Follow bushy track east for approximately 500 m to big trees.",River floodplain site.,Will Koop,Ralph Kelman,,,Ralf Kelman,0
black cottonwood*,147,,492,42.7,2.66,28,1993,1993,Skumalasph Island,Deroche,First Nations,,49.191682,-122.049504,,"First Nation Reserve - please contact First Nations for permission.  
From Highway 7, 200 m south of Nicomen Slough bridge, turn east on road for 1 km to dike at Zaitscullachan Slough, turn left and then right across slough. Follow bushy track east for approximately 500 m to big trees.",River floodplain site.,Will Koop,Ralph Kelman,,,Ralf Kelman,0
black cottonwood*,149,,504,43.9,2.76,23.5,1993,1993,Skumalasph Island,Deroche,First Nations,,49.191682,-122.049504,,"First Nation Reserve - please contact First Nations for permission.  
From Highway 7, 200 m south of Nicomen Slough bridge, turn east on road for 1 km to dike at Zaitscullachan Slough, turn left and then right across slough. Follow bushy track east for approximately 500 m to big trees.",River floodplain site.,Will Koop,Ralph Kelman,,,Ralf Kelman,0
black cottonwood*,150,,525,43.3,2.91,28.3,1993,1993,Skumalasph Island,Deroche,First Nations,,49.191682,-122.049504,,"First Nation Reserve - please contact First Nations for permission.  
From Highway 7, 200 m south of Nicomen Slough bridge, turn east on road for 1 km to dike at Zaitscullachan Slough, turn left and then right across slough. Follow bushy track east for approximately 500 m to big trees. This tree is south of track (10U 5692 54490).",River floodplain site.,Will Koop,Ralph Kelman,,,Ralf Kelman,0
yellow-cedar*,151,,467,33.5,2.81,10.7,2006,1993,Fromme Ridge,North Vancouver,Parks/reserves,Lynn Headwaters RP,missing,,,Fromme Ridge in Lynn Headwaters Regional Park.,,Ralf Kelman,,,,Ralf Kelman,0
interior Douglas-fir,153,,364,44.8,1.68,11.3,1993,1993,Little Lichen Mtn.,Scotch Creek,Provincial land,,51.072856,-119.419218,1341,"Travel 18 km on Scotch Creek Forest Service Rd. (670 Rd), then 5.6 km on 673 Road. Tree is about 50 m below road on steep slope.","On steep-mid-slope, west aspect. Tree in leave strip between old clearcut blocks.",James Wright,,,,James Wright,0
yellow-cedar*,154,,448,24.4,2.91,10.1,1993,1993,Norvan Creek,North Vancouver,Parks/reserves,Lynn Headwaters RP,49.419581,-123.01649,700,"Follow Lynn Headwaters Trail to Norvan Creek, then hike up Norvan Creek Trail. Tree is above trail, east of large avalanche chute below ""The Needles"" at approximately 700 m elevation.","Lower mesoslope, toe macroslope, aspect northwest. CWHvm2, montane.",Randy Stoltmann,,,,Randy Stoltmann,0
Garry oak,155,,289,27.4,1.44,25,1993,1993,Hwy 18,Duncan,Private land,,48.815389,-123.742333,60,"Private land - please respect private property and view from a distance.   
Follow Highway 18 west towards Lake Cowichan. After the railway crossing is a long, straight hill. Tree is in farm field to north of highway, approximately 100 m from road and fully visible.",Mid-slope on very gentle eastern aspect.,Randy Stoltmann,,,,Randy Stoltmann,0
Garry oak,156,,301,25.9,1.58,25.6,1993,1993,Somenos Creek,Duncan,Provincial land,,48.789583,-123.697023,7,"Tree is located on the east bank of Somenos Creek, opposite the north end of York Rd.  Access is from subdivision to east.","River floodplain, CDFmm.",Michael Ryan,,,,Randy Stoltmann,0
arbutus,157,,261,25.9,1.29,18.9,1993,1993,Mount Douglas P.,Saanich,Parks/reserves,Mount Douglas RP,48.500765,-123.340889,40,"1.2 km south of the Blenkinsop/Cordova Bay Rd. junction, on the east side of Cordova Bay Rd., on level bench near top of steep escarpment above beach. About 70 m north of entrance to Merriman Trail (see access map).",On level bench near top of steep escarpment above beach. Tree is very close to roadway.,Randy Stoltmann,,,,Randy Stoltmann,0
yellow-cedar*,158,,468,40.2,2.65,9.8,1993,1993,Lyon Lake,Halfmoon Bay,Provincial land,,49.653191,-123.888711,1030,"One km NE of Lyon Lake. From Halfmoon Bay at Hwy 101, take logging road north to 1 km N of Lyon Lake. Hike east, past small lake in basin at 3050', over 3300' shoulder. Descend east slope to about 3100', angling slightly left. Tree is near edge of clearcut at about 3100'. Tree #2 - at about 3000' on east slope.","Midslope, toe mesoslope, aspect east. CWHvm2, montane.  Unable to relocate during revisit in 1998 by R. Van Pelt",Randy Stoltmann,,,,Randy Stoltmann,0
yellow-cedar*,160,,539,38.4,3.24,14,1993,1993,Lyon Lake,Halfmoon Bay,Provincial land,,49.653191,-123.888711,1030,"1 km NE of Lyon Lake. From Halfmoon Bay at Hwy 101, take logging road north to 1 km N of Lyon Lake. Hike east, past small lake in basin at 3050', over 3300' shoulder. Descend east slope to about 3100', angling slightly left. Tree is near edge of clearcut at about 3100'. Tree #2 - at about 3000' on east slope.","Midslope, toe mesoslope, aspect east. CWHvm2, montane.  Unable to relocate during revisit in 1998 by R. Van Pelt.",Randy Stoltmann,,,,Randy Stoltmann,0
mountain hemlock*,161,,351,51.8,1.4,9.8,1994,1994,Grouse Mountain,North Vancouver,Watersheds,Capilano Watershed,no access,,1050,No public access,"Aspect NNW, slope 60-70%, middle slope, concave. CWHvm1.",Ralf Kelman,,,,Ralf Kelman,0
Garry oak,162,,280,22.9,1.5,22.9,1994,1994,Kings Rd.,Victoria,Municipal/city,,48.437662,-123.329857,20,"1769 Kings Rd., Victoria",Tree has been topped in the past. CDFmm,Randy Stoltmann,,,,Randy Stoltmann,0
western white pine*,163,White Pine Falls Tree,360,53.4,1.44,8,1995,1995,Lillooet R./Job Cr.,Pemberton,Parks/reserves,Upper Lillooet PP,50.702011,-123.549124,,NE of Lillooet River/Job Creek. Several hundred metres west of unnamed waterfall.,Healthy. River valley. CWHms1.,Friends of Stoltmann,,,,A MacKinnon,0
western white pine*,164,Lillooet River Tree,344,39.1,1.66,12.3,1995,1995,Lillooet R./Job Cr.,Pemberton,Parks/reserves,Upper Lillooet PP,50.697678,-123.552472,,NE of Lillooet River/Job Creek.,"Healthy. River valley, ridge. CWHms1",Friends of Stoltmann,Andy MacKinnon,Bryan Evans,Tim Wilson,A MacKinnon,1
Sitka spruce,165,,661,61,3.63,14.9,2006,1995,Lower Seymour CR,North Vancouver,Parks/reserves,Lower Seymour CR,missing,,,Lower Seymour Conservation Reserve near Old Growth Trail.,,Ralf Kelman,,,,Ralf Kelman,0
Pacific yew*,166,,155,12.2,0.86,11,2006,2006,Lower Seymour CR,North Vancouver,Parks/reserves,Lower Seymour CR,missing,,,East Side Road 13K of Lower Seymour Conservation Reserve.,,Ralf Kelman,,,,Ralf Kelman,0
western white pine*,169,,281,46.1,1,7.6,1997,1997,Tralee Rd.,Coombs,Woodlot Lic.,97,49.302756,-124.512409,,"Near Whiskey Creek, Nanaimo District. 41.2 m at 62 degrees from IPA (16/17) or R.",CWHxm1,Yurgen Menninga,,,,Laurie McCulligh,1
coastal Douglas-fir,172,Gambier Giant,718,74.4,3.69,21,1998,1998,Andy's Bay,Gambier Harbour,Woodlot Lic.,39,missing,,,,"Healthy tree, top broken in distant past. Hemlock (0.40 m) growing on side of trunk about 2m from ground.",Maria Van Dyk,,,,Bruce McTaggart,1
Garry oak,173,,298,30.6,1.42,26.6,1998,1998,Somenos Rd.,Duncan,Private land,,missing,,,"Private land - please respect private property and view from a distance. 
Tree is located at 6686 Somenos Rd., approximately  600 ft. south of Hwy and 300 ft. west of Somenos Rd.",,Myrna Sinclair,,,,Clive Bavoin,1
seaside juniper,174,,184,22.9,0.83,7.5,1998,1998,Coal Island,North Saanich,Private land,,48.678828,-123.385503,,"Private land - please respect private property and view from a distance. 
Tree in on the SW end of Coal Island.",Healthy.,George Douglas,,,,George Douglas,0
Sitka spruce,175,San Juan Spruce,683,62.5,3.71,22.9,1998,1984,San Juan Bridge,Port Renfrew,Provincial land,,48.587922,-124.186631,,This tree is easy to get to (2 hour drive from Victoria) and is located very close to the road.  For excellent driving instructions see the Ancient Forest Alliance's Hiking Guide (http://www.ancientforestguide.com/big-trees.php?ID=4).,"This tree has a volume of 333 cubic meters.  One cubic meter representing the amount of wood found in a single telephone pole. 
River floodplain site.",Randy Stoltmann,,,,Not known,1
amabilis fir,176,,421,45.7,2.11,12.5,1998,1998,Meares Island,Tofino,Provincial land,,missing,,,,,Adrian Dorst,,,,Adrian Dorst,0
arbutus,177,Witty's Lagoon Arbutus,273,28,1.33,21,1999,1999,Witty's Lagoon,Sooke,Parks/reserves,Witty's Lagoon RP,48.392353,-123.515892,,To north of trail immediately after entering through Regional Park main entrance.,Healthy with minor defects.,Hans Roemer,,,,Hans Roemer,1
Ponderosa pine,178,,282,35.2,1.27,11.5,1999,1999,Community Park,Coldstream,Municipal/city,,50.223511,-119.23525,,"Coldstream, east end of Community Park.",Tree has a broken top  but otherwise healthy. IDFxh1a,Sam McKillop,,,,Michael Carlson,0
Engelmann spruce,179,,409,52.6,1.84,9.6,1999,1999,Shuswap R.,Cherryville,Provincial land,,50.81249,-118.394432,1230,Headwaters of the Shuswap River.,Excellent health. ICHvk1,Fred Taylor,,,,Michael Carlson,1
western white pine^,180,,332,49.5,1.31,10.5,1999,1999,Shuswap R.,Cherryville,Provincial land,,50.8125,-118.394444,,Headwaters of the Shuswap River.,"Healthy, dead top. ICHvk1",Sam McKillop,,,,Michael Carlson,1
Sitka spruce,181,Windy Bay Spruce #1,720,52.9,4.31,15.5,1999,1999,Windy Bay,Moresby Camp,Parks/reserves,Gwaii Haanas NP,52.693806,-131.454333,10,"Located within Gwaii Haanas National Park Reserve and Haida Heritage Site is the ancient village, and now current watchmen of Windy Bay, or Hlk'yah GaawGa. Windy Bay is on the western side of Lyell Island, and is home to a moderately sized salmon bearing stream and estuary.  From the watchmen cabin (south side of river), there is a well marked and maintained trail that follows the estuary up to the foot of the river, and crosses the river to the north side. From this point the trail winds into the woods, where you will walk for about ten minutes, before encountering the spruce tree right on the trail.","This tree is estimated to be in the 800-900 year range according to the local Haida. It is characterized by a very large trunk that diminishes little in circumference with height. Relatively healthy with broken top, CWHwh1. 
Diameter at branch appears to be about 2 m.",Kala Fulton,,,,Michael Carlson,1
paper birch*,182,,272,30.8,1.26,17.7,1999,1999,Skumalasph Island,Deroche,First Nations,,missing,,,First Nation Reserve - please contact First Nations for permission.,"Old, healthy, large bole for a birch tree.",Shaun Muc,,,,Shaun Muc,1
paper birch*,183,,258,15.2,1.57,16.8,2000,1999,CPR tracks,Dewdney,Private land,,missing,,,"Private land - please respect private property and view from a distance.  
Tree is located in the small community of Dewdney, beside CPR tracks straddling farm fence, east of main road and general store.","Healthy, double-stemmed giant.",Shaun Muc,,,,Shaun Muc,1
paper birch*,184,,264,26.5,1.33,15.5,2000,1999,Skumalasph Island,Deroche,First Nations,,49.191682,-122.049504,,"First Nation Reserve - please contact First Nations for permission. From Highway 7, 200 m south of Nicomen Slough bridge, turn east on road for 1 km to dike at Zaitscullachan Slough, turn left and then right across slough. Follow bushy track east for approximately 500 m to big trees.","Old, healthy, large bole with swollen base.",Shaun Muc,Ralph Kelman,,,Shaun Muc,0
western larch,185,Eek's Larch,420,52.4,1.92,11.9,1999,1999,Bridesville Rd.,Rock Creek,Provincial land,,missing,,,"Midway between Bridesville and Rock Creek on the connector.   South of Johnstone Creek PP, 1 km north of US border.","Ancient, lightning blackened top, large bole to about 100'.",Shaun Muc,,,,Shaun Muc,1
western larch,186,,353,52.1,1.41,8.2,1999,1999,Plumbob Mtn.,Cranbrook,Tree Farm Lic.,,49.233465,-115.437309,,,"Healthy, dead top, seed tree in old clearcut.",Jack Closkey,Shaun Muc,,,Shaun Muc,1
western larch,187,,357,43,1.69,8.2,1999,1999,Chain Lakes,Cranbrook,Provincial land,,49.193422,-115.46257,,,Very healthy with small dead top.,Jack Closkey,Shaun Muc,,,Shaun Muc,1
grand fir*,189,,408,63,1.56,9.4,1999,1999,Nicolum Creek,Hope,Provincial land,,49.341166,-121.308007,,Approximately 6 km east of Hope in the East bound rest area on Hwy 3 after Nicolum Creek.,"Healthy, branches low on trunk, strong leader.",Shaun Muc,,,,Shaun Muc,1
bigleaf maple,190,,406,31.1,2.3,22.6,1999,1999,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.30443,-123.151369,,North of Tatlow Walk.,"Old, hollow on north side, large round crown.",Shaun Muc,,,,Shaun Muc,0
bigleaf maple,191,Duncan Maple,481,27.4,2.93,33.5,1999,1999,Harrison Mills,Harrison Mills,Private land,,no access,,,Private land - exact location is withheld.,"Healthy with low forking branches, massive crown spread, and oval trunk.  The tree is 13 feet (maybe more) at its widest. The crown is wider than the tree is tall.",Shaun Muc,,,,Shaun Muc,1
western white pine*,192,Parsons' Pine,300,41.5,1.26,9.5,1999,1999,Victoria Peak,Sayward,Tree Farm Lic.,WFP TFL 39,50.044912,-126.133103,,2.5 km WSW of Victoria Peak.,Healthy with broken top. MHmm1.,Len Parsons,,,,Len Parsons,1
