common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula
black cottonwood*,120,,499,38.7,2.82,27.7,2008,1992,Woodwards Landing,Richmond,Municipal/city,,49.126357,-123.102673,2,"South end of Shell Rd. in Richmond. East of road and railway tracks, between slough and industrial park.",CDFmm,Ralf Kelman,,,,Ralf Kelman,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/120_Act_Richmond_SO_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/120_Act_Richmond_SO_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/120_Act_Richmond_SO_3.jpg"" target=""_blank"">3</a>      "
coastal Douglas-fir,121,Crown Creek Fir,673,72.2,3.4,19.5,1992,1992,Crown Creek,North Vancouver,Watersheds,Capilano Watershed,no access,,720,No public access,"The tree has a broken top.  Northwest aspect, 85% slope, mid-slope, straight. Montane.",Ralf Kelman,,,,Ralf Kelman,c,0,
western hemlock*,122,,434,24.4,2.76,15.5,1999,1992,Barrier Creek,North Vancouver,Parks/reserves,Lynn Headwaters RP,49.388982,-123.061951,840,"From saddle between Grouse Mountain and Mount Fromme, follow hiking trail north around back of Grouse Mountain into Barrier Creek Valley. From a point approximately 100 m east of Barrier Creek, descend steep, forested slopes approximately 100 m to tree.","This was once a huge tree but now has a broken top and is barely alive.  Aspect north, slope approximately 85%, middle slope, straight, avalanche deposition area. CWHvm2.",Ralf Kelman,,,,Ralf Kelman,c,0,
vine maple,123,,101,18.9,0.26,8.8,1992,1992,Endowment Lands,Vancouver,Institution/corp.,UBC ,49.239481,-123.212881,35,Enter woods off Southwest Marine Drive along vague track. Tree is approximately 30-40 m from road on left-hand (west) side of track.,"Level upland site, two trees at this site. CWHxm1.",Ralf Kelman,,,,Ralf Kelman,b,0,
vine maple,124,,87,19.2,0.17,3.7,1992,1992,Endowment Lands,Vancouver,Institution/corp.,UBC ,49.239481,-123.212881,35,Enter woods off Southwest Marine Drive along vague track. Tree is approximately 30-40 m from road on left-hand (west) side of track.,"Level upland site, two trees at this site. CWHxm1.",Ralf Kelman,,,,Ralf Kelman,b,0,
paper birch*,125,,267,22.6,1.41,21.9,1999,1992,Pitt River,Pitt Meadows,Unknown,,49.236706,-122.748552,4,"Chatham Reach, Pitt River. From Highway 7 east of Pitt River bridge, drive south along dike to a right-angle bend in road and trail access to dike. Tree is beside river west of dike.","River floodplain site. CWHdm.  
Birch trees along river used to tie off log booms with cables.",Ralf Kelman,,,,Ralf Kelman,b,0,
paper birch*,126,,216,20.7,1.09,16.2,1999,1992,Pitt River,Pitt Meadows,Unknown,,49.234916,-122.752681,4,"Chatham Reach, Pitt River. From Highway 7 east of Pitt River bridge, drive south along dike to a right-angle bend in road and trail access to dike. Tree is beside river west of dike.","River floodplain site. CWHdm.  
Birch trees along river used to tie off log booms with cables.",Ralf Kelman,,,,Ralf Kelman,b,0,
black cottonwood*,127,,539,36.7,3.22,24.3,2021,1992,Skumalasph Island,Deroche,First Nations,Skumalasph IR 16,49.198772,-122.024582,15,"From Highway 7 near Deroche, turn East on to Malcom Road, turning right a short ways after onto Dyke Road. Park at the gate and walk south along Dyke Road until you find a place clear enough to enter the forest and bushwhack to the tree. Proceed with caution, as this Island is full of blackberry and bushwhacking is very difficult. Request permission from Bands before access.","Since last measurement in 1992 this tree has changed by -7.3 m in height, +3 cm in dbh and +80 cm in crownspread.",Will Koop,,,,"O'Rourke, Muc, Sutherland",b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/127_Act_Skumalasph_SO_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/127_Act_Skumalasph_SO_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/127_Act_Skumalasph_SO_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/127_Act_Skumalasph_SO_4.jpg"" target=""_blank"">4</a>   "
coastal Douglas-fir,128,Hollyburn Spur Giant,612,64,3.1,21.6,1992,1992,Watershed,North Vancouver,Watersheds,Capilano Watershed,missing,,,No public access,,Ralf Kelman,,,,Ralf Kelman,c,0,
western redcedar*,130,,825,57.9,5.05,13.4,2006,1992,Kennedy Creek,North Vancouver,Parks/reserves,Lynn Headwaters RP,missing,,,"In Lynn Headwaters Regional Park, north of Kennedy Creek.",,Ralf Kelman,,,,Ralf Kelman,c,0,
western redcedar*,131,,817,59.4,4.95,12.2,2006,1992,Kennedy Creek,North Vancouver,Parks/reserves,Lynn Headwaters RP,missing,,,"In Lynn Headwaters Regional Park, north of Kennedy Creek.",,Ralf Kelman,,,,Ralf Kelman,c,0,
coastal Douglas-fir,132,,,85.3,2.76,,2006,1992,N Coquitlam Grove,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,,Will Koop,,,,Ralf Kelman,c,0,
western redcedar*,133,,790,54.9,4.85,12.2,2006,1992,Wickenden Creek,North Vancouver,Parks/reserves,Lynn Headwaters RP,missing,,,Wickenden Creek in Lynn Headwaters Regional Park.,,Ralf Kelman,,,,Ralf Kelman,c,0,
Pacific yew*,134,,149,15.2,0.73,11,2006,1992,Hydraulic Creek,North Vancouver,Parks/reserves,Lower Seymour CR,missing,,,Hydraulic Creek south side of Lower Seymour Conservation Reserve.,,Will Koop,,,,Ralf Kelman,c,0,
bigleaf maple,135,,461,26.8,2.86,22.9,2000,1992,Camp River Rd.,Chilliwack,Private land,,49.195618,-121.846783,,"Private land - please respect private property and view from a distance.  
Tree is at 48670 Camp River Rd.",Healthy with some rot in center and an unusually massive single trunk.,Ralf Kelman,,,,Ralf Kelman,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/135_Mb_CampRR_sm_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/135_Mb_CampRR_sm_2.jpg"" target=""_blank"">2</a>         "
Pacific dogwood,136,,196,17.4,1.02,15.5,1995,1992,W Shawnigan L.,Shawnigan Lake,Parks/reserves,West Shawigan L. PP,48.641419,-123.650178,120,In grass field adjacent to picnic area on the west side of Shawnigan Lake.,"Straight tree.  East aspect, 5-10% slope, mid slope. CWHxm1",Randy Stoltmann,,,,Not known,b,0,
red alder,137,,254,40.8,0.86,16.8,1992,1992,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.298059,-123.141612,,"From road along north side of Lost Lagoon, follow Tatlow Walk for approximately 100m. Tree is approximately 6m east of trail.",Level upland site. CWHdm.,Vancouver Parks Board Survey,,,,Randy Stoltmann,b,0,
Sitka alder,138,,106,8.5,0.52,17.1,1992,1992,Endowment Lands,Vancouver,Institution/corp.,UBC ,49.260995,-123.250082,90,"Ponderosa Annex, near Lower Mall, UBC. East of Lower Mall, west of South Ponderosa Annex.",,Randy Stoltmann,,,,Robert VanPelt,b,0,
yellow-cedar*,140,,468,20.7,3.2,4.6,1992,1992,Hollyburn Mountain,West Vancouver,Parks/reserves,Cypress PP,49.397836,-123.190137,1080,Follow Baden Powell Trail from Cypress Bowl downhill ski area towards Hollyburn Mountain. Climb rough trail east of Cypress Creek tributary to junction with old Strachan Trail. Tree is approximately 30 m ESE of junction.,"A huge, hulking, but broken tree.  A 63 cm increment core taken in 1992 revealed 498 annual growth rings.  Mountain hemlock-Amabilis fir-Twisted stalk site association. West aspect, 30% slope, mid-slope bench, concave (toe mesoslope). MHmm1,montane.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
Engelmann spruce,141,Joffre Giant,418,38.8,2.27,11.7,2019,1992,Joffre Creek,Mount Currie,Provincial land,Lil'wat Nation,50.368982,-122.557327,1145,North of Joffre Creek. From Duffey Lake Rd. follow North Joffre Creek logging road for approx. 2.5 km. Cross creek and contour through forest to slide path. Tree is isolated in slide path/avalanche chute surrounded by slide alder. Tree visible from North Joffre logging road.,"This tree appears to be very healthy, some burls observed. Historic grown-over bole scars likely from boulders (slide). One fungi fruiting body located inside an old scar. No insect bore holes noted. Needles green and abundant to the tree top. Only one small cone located on ground, tree does not appear to be stressed. Tree dominated by Alder and surrounded by devils club, huckleberry, salmonberry, bracken fern, ribes and thimbleberry. (FG 2019) This tree is a perfectly formed sentinel with sprawling roots clinging to a huge boulder in the path of winter snow slides. The base swells to over 8 feet thick before expanding still further into massive, flaring roots.  ESE aspect, 40-45% slope, mid-slope, concave, (upper mesoslope, convex), avalanche deposition zone.  CWHds1, montane (RVP 1999)",Randy Stoltmann,,,,Frank DeGagne,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/141_Se_Joffre_FR_5.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/141_Se_Joffre_FR_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/141_Se_Joffre_FR_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/141_Se_Joffre_PF_1.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/141_Se_Joffre_FR_4.jpg"" target=""_blank"">5</a>"
black cottonwood*,142,,,52,2.9,,2021,2021,Skumalasph Island,Deroche,First Nations,Skumalasph IR 16,49.198828,-122.023603,15,"From Highway 7 near Deroche, turn East on to Malcom Road, turning right a short ways after onto Dyke Road. Park at the gate and walk south along Dyke Road until you find a place clear enough to enter the forest and bushwhack to the tree. Proceed with caution, as this Island is full of blackberry and bushwhacking is very difficult. Request permission from Bands before access.",,Randy Stoltmann,,,,"O'Rourke, Sutherland",b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/142_Act_Skumalasph_SO_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/142_Act_Skumalasph_SO_2.jpg"" target=""_blank"">2</a>         "
black cottonwood*,142,,527,45.7,2.89,24.1,1993,1993,Skumalasph Island,Deroche,First Nations,,49.199549,-122.021211,10,"First Nation Reserve - please contact First Nations for permission. 
From Hwy 7, follow Malcom Rd. east, turn right over bridge into Skumalasph Island. At sharp left turn approx. 1.5 km beyond bridge, follow spur road to right. Hike northwest along slough from end of spur. Tree is in grove east of slough.",An eagle's nest was found in this tree. CWHdm.,Randy Stoltmann,Will Koop,Ralph Kelman,,Randy Stoltmann,b,0,
black cottonwood*,143,,531,46.9,2.87,26.2,1993,1993,Skumalasph Island,Deroche,First Nations,,49.200483,-122.025311,10,"First Nation Reserve - please contact First Nations for permission. 
From Hwy 7, follow Malcom Rd. east, turn right over bridge into Skumalasph Island. At sharp left turn approx. 1.5 km beyond bridge, follow spur road to right. Hike northwest along slough from end of spur. Tree is in grove east of slough.",CWHdm,Randy Stoltmann,Will Koop,Ralph Kelman,,Randy Stoltmann,b,0,
western hemlock*,144,Norvan's Castle,541,45.7,3.05,16.8,1999,1993,Norvan Creek,North Vancouver,Parks/reserves,Lynn Headwaters RP,49.41891,-123.01768,700,"From the Lynn Headwaters Regional Provincial Park parking lot, take the Lynn Headwaters Trail toward Norvan Falls (7 km). Just before the falls, turn right onto the Coliseum Mountain trail. This trail is rugged and fairly vertical. Follow the yellow blazons and orange trail-marking tape. After about an hour, the trail levels out and is in more dense brush and old-growth. Follow the trail, crossing creek beds, until you reach a stony avalanche chute. You'll see Norvan Ponds (pools and waterfall) about 40 m to your left, down the chute. Keep walking on the path, which meanders up the stony avalanche chute. Look for the pink trail-marking tape in the bush to your right and walk about 15 m off the trail to the tree. The tree is above (to the right of) the path, below The Needles. The tree is not visible from the path.

","Healthy, has 6 reiterations (new leaders) and broken top at 115 feet, 5 leaders forming ‘candelabra’ top.  Tree is at bottom of large avalanche chute.",Randy Stoltmann,,,,Robert VanPelt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/144_Hw_Norvan_AL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/144_Hw_norvan_SM_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/144_Hw_norvan_SM_2.jpg"" target=""_blank"">3</a>      "
black cottonwood*,146,,477,37.8,2.72,21,1993,1993,Skumalasph Island,Deroche,First Nations,,49.191682,-122.049504,,"First Nation Reserve - please contact First Nations for permission. 
From Highway 7, 200 m south of Nicomen Slough bridge, turn east on road for 1 km to dike at Zaitscullachan Slough, turn left and then right across slough. Follow bushy track east for approximately 500 m to big trees.",River floodplain site.,Will Koop,Ralph Kelman,,,Ralf Kelman,b,0,
black cottonwood*,147,,492,42.7,2.66,28,1993,1993,Skumalasph Island,Deroche,First Nations,,49.191682,-122.049504,,"First Nation Reserve - please contact First Nations for permission.  
From Highway 7, 200 m south of Nicomen Slough bridge, turn east on road for 1 km to dike at Zaitscullachan Slough, turn left and then right across slough. Follow bushy track east for approximately 500 m to big trees.",River floodplain site.,Will Koop,Ralph Kelman,,,Ralf Kelman,b,0,
black cottonwood*,149,,504,43.9,2.76,23.5,1993,1993,Skumalasph Island,Deroche,First Nations,,49.191682,-122.049504,,"First Nation Reserve - please contact First Nations for permission.  
From Highway 7, 200 m south of Nicomen Slough bridge, turn east on road for 1 km to dike at Zaitscullachan Slough, turn left and then right across slough. Follow bushy track east for approximately 500 m to big trees.",River floodplain site.,Will Koop,Ralph Kelman,,,Ralf Kelman,b,0,
black cottonwood*,150,,525,43.3,2.91,28.3,1993,1993,Skumalasph Island,Deroche,First Nations,,49.191682,-122.049504,,"First Nation Reserve - please contact First Nations for permission.  
From Highway 7, 200 m south of Nicomen Slough bridge, turn east on road for 1 km to dike at Zaitscullachan Slough, turn left and then right across slough. Follow bushy track east for approximately 500 m to big trees. This tree is south of track (10U 5692 54490).",River floodplain site.,Will Koop,Ralph Kelman,,,Ralf Kelman,b,0,
yellow-cedar*,151,,467,33.5,2.81,10.7,2006,1993,Fromme Ridge,North Vancouver,Parks/reserves,Lynn Headwaters RP,missing,,,Fromme Ridge in Lynn Headwaters Regional Park.,,Ralf Kelman,,,,Ralf Kelman,c,0,
interior Douglas-fir,153,,364,44.8,1.68,11.3,1993,1993,Little Lichen Mtn.,Scotch Creek,Provincial land,,51.072856,-119.419218,1341,"Travel 18 km on Scotch Creek Forest Service Rd. (670 Rd), then 5.6 km on 673 Road. Tree is about 50 m below road on steep slope.","On steep-mid-slope, west aspect. Tree in leave strip between old clearcut blocks.",James Wright,,,,James Wright,c,0,
yellow-cedar*,154,,448,24.4,2.91,10.1,1993,1993,Norvan Creek,North Vancouver,Parks/reserves,Lynn Headwaters RP,49.419581,-123.01649,700,"Follow Lynn Headwaters Trail to Norvan Creek, then hike up Norvan Creek Trail. Tree is above trail, east of large avalanche chute below ""The Needles"" at approximately 700 m elevation.","Lower mesoslope, toe macroslope, aspect northwest. CWHvm2, montane.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
Garry oak,155,,289,27.4,1.44,25,1993,1993,Hwy 18,Duncan,Private land,,48.815389,-123.742333,60,"Private land - please respect private property and view from a distance.   
Follow Highway 18 west towards Lake Cowichan. After the railway crossing is a long, straight hill. Tree is in farm field to north of highway, approximately 100 m from road and fully visible.",Mid-slope on very gentle eastern aspect.,Randy Stoltmann,,,,Randy Stoltmann,b,0,
Garry oak,156,,301,25.9,1.58,25.6,1993,1993,Somenos Creek,Duncan,Provincial land,,48.789583,-123.697023,7,"Tree is located on the east bank of Somenos Creek, opposite the north end of York Rd.  Access is from subdivision to east.","River floodplain, CDFmm.",Michael Ryan,,,,Randy Stoltmann,b,0,
arbutus,157,,261,25.9,1.29,18.9,1993,1993,Mount Douglas P.,Saanich,Parks/reserves,Mount Douglas RP,48.500765,-123.340889,40,"1.2 km south of the Blenkinsop/Cordova Bay Rd. junction, on the east side of Cordova Bay Rd., on level bench near top of steep escarpment above beach. About 70 m north of entrance to Merriman Trail (see access map).",On level bench near top of steep escarpment above beach. Tree is very close to roadway.,Randy Stoltmann,,,,Randy Stoltmann,b,0,
yellow-cedar*,158,,468,40.2,2.65,9.8,1993,1993,Lyon Lake,Halfmoon Bay,Provincial land,,49.653191,-123.888711,1030,"One km NE of Lyon Lake. From Halfmoon Bay at Hwy 101, take logging road north to 1 km N of Lyon Lake. Hike east, past small lake in basin at 3050', over 3300' shoulder. Descend east slope to about 3100', angling slightly left. Tree is near edge of clearcut at about 3100'. Tree #2 - at about 3000' on east slope.","Midslope, toe mesoslope, aspect east. CWHvm2, montane.  Unable to relocate during revisit in 1998 by R. Van Pelt",Randy Stoltmann,,,,Randy Stoltmann,c,0,
yellow-cedar*,160,,539,38.4,3.24,14,1993,1993,Lyon Lake,Halfmoon Bay,Provincial land,,49.653191,-123.888711,1030,"1 km NE of Lyon Lake. From Halfmoon Bay at Hwy 101, take logging road north to 1 km N of Lyon Lake. Hike east, past small lake in basin at 3050', over 3300' shoulder. Descend east slope to about 3100', angling slightly left. Tree is near edge of clearcut at about 3100'. Tree #2 - at about 3000' on east slope.","Midslope, toe mesoslope, aspect east. CWHvm2, montane.  Unable to relocate during revisit in 1998 by R. Van Pelt.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
